Mine Density,Average Cost
0.05,0.0
0.1,0.4
0.15000000000000002,0.8
0.2,0.8
0.25,3.4
0.3,5.4
0.35,9.2
0.39999999999999997,14.8
0.44999999999999996,22.4
0.49999999999999994,25.05
0.55,32.9
0.6,41.6
0.65,52.6
0.7,69
0.75,84.83
0.8,110.2
0.85,129.6
0.9,159.2
