Mine Density,Average Cost
0.05,12.0
0.1,23.0
0.15000000000000002,34.0
0.2,45.0
0.25,57.0
0.3,68.0
0.35,79.0
0.39999999999999997,90.0
0.44999999999999996,102.0
0.49999999999999994,113.0
0.5499999999999999,124.0
0.6,135.0
0.65,147.0
0.7,
0.75,
0.8,
0.85,
0.9,
