Mine Density,Average Cost,
,,
0.05,2.3,1.8
,,
0.1,3.5,2.9
,,
0.15,4.7,3.8
,,
0.2,9.6,6.3
,,
0.25,20.8,12.9
,,
0.3,33,20.6
,,
0.35,49.2,27.4
,,
0.4,62,39.3
,,
0.45,75.6,57.7
,,
0.5,88.4,71.1
,,
0.55,103.2,78.1
,,
0.6,105.2,88.3
,,
0.65,125.5,102.1
,,
0.7,128.5,111.8
,,
0.75,138.8,123.9
,,
0.8,149.1,136.5
,,
0.85,154.6,149.6
,,
0.9,167.9,166.8
