Mine Density,Average Cost,Average Cost (Min Cost)
,,
0.05,0,0
,,
0.1,0,0
,,
0.15,0.5,0.7
,,
0.2,1.3,0.8
,,
0.25,4.6,1.6
,,
0.3,7.8,4.5
,,
0.35,12.9,7
,,
0.4,15.9,9.4
,,
0.45,24.8,16.1
,,
0.5,41.3,24
,,
0.55,42.7,28.7
,,
0.6,59.4,43.7
,,
0.65,73.2,52.1
,,
0.7,82.6,68.6
,,
0.75,101.7,82.1
,,
0.8,114.4,100.1
,,
0.85,130.7,122.3
,,
0.9,147.4,154.5
