Mine Density,Average Cost
0.05,0.0
0.1,0.1
0.15000000000000002,0.8
0.2,1.9
0.25,6.1
0.3,8.8
0.35,16.3
0.39999999999999997,24.2
0.44999999999999996,31.6
0.49999999999999994,45.2
0.5499999999999999,50.3
0.6,64.7
0.65,75.4
0.7000000000000001,84.0
0.7500000000000001,98.0
0.8000000000000002,112.2
0.8500000000000002,133.0
0.9000000000000002,149.1
